Common name,Scientific name,Expansion,Color,PowerCategory,Power text,Predator,Flocking,Bonus card,Victory points,Nest type,Egg capacity,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild (food),/ (food cost),* (food cost),Total food cost,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Viticulturalist,Wetland Scientist,Wildlife Gardener,Caprimulgiform Specialist,Small Clutch Specialist,Endangered Species Protector,Beak Pointing Left,Beak Pointing Right,Note,id,additionalRulings/0/text,additionalRulings/0/source,additionalRulings/1/text,additionalRulings/1/source,rulings/0/text,rulings/0/source,additionalRulings/2/text,additionalRulings/2/source,additionalRulings/3/text,additionalRulings/3/source,additionalRulings/4/text,additionalRulings/4/source,rulings/1/text,rulings/1/source,rulings/2/text,rulings/2/source,additionalRulings/5/text,additionalRulings/5/source,additionalRulings/6/text,additionalRulings/6/source,rulings/3/text,rulings/3/source
Common Little Bittern,Ixobrychus minutus,european,Brown,Card-drawing,Gain 1 face-up [card] that can live in [grassland].,,,,2,Platform,3,49,,,X,1,,1,,,,,,,2,,,,,X,,,,,,,X,,,,,,,X,,,,X,,,,,,X,"If no with [card] that habitat is available, do not gain anything.",85,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Common Loon,Gavia immer,originalcore,Brown,Card-drawing,Player(s) with the fewest [wetland] birds: draw 1 [card].,,,,6,Ground,1,117,,,X,,,1,,,,1,,,2,,,,,,,,,,X,,X,,,X,,X,,,,,,X,,,X,,X,X,"If players are tied for the fewest birds currently in the wetland habitat, all draw a card, starting with you and proceeding clockwise. All may draw from the deck or the face-up cards.",86,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Common Merganser,Mergus merganser,originalcore,Brown,Hunting/Fishing,"Roll all dice not in birdfeeder. If any are [fish], gain 1 [fish] and cache it on this card.",X,,,5,Cavity,4,86,,,X,,,1,,,,1,,,2,,,,,,,,,,,X,X,,,X,X,X,,,,,,X,,,,,,X,"Birds that eat rodents or fish roll all dice that are not in the birdfeeder. (Note that you will never roll more than 4 dice, because when all 5 dice are out of the birdfeeder it must reset immediately.) Roll dice on the table; they do not go back into the birdfeeder. If one or more dice show the specified type, take at most 1 token of that type from the supply and cache it on your card (see “Caching food”). Each token on a bird card is worth 1 point at the end of the game.",87,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Common Moorhen,Gallinula chloropus,european,Brown,Other,"Discard 1 [wild] from your supply. If you do, play another bird in your [wetland]. Pay its normal food and egg cost.",,,,3,Wild,6,53,,,X,1,1,1,,,,,,,3,,X,,,X,,,X,X,X,,X,,,,X,,,X,,,,X,X,,,,X,,"If the additional bird has a “when played” power, it is triggered when the bird is played.",88,"You may substitute 2 [wild] for any 1 food in a bird's food cost whenever you play a bird, including outside the scope of the <i>""play a bird""</i> action.",https://www.facebook.com/groups/wingspanboardgame/?post_id=592455651458041&comment_id=592685648101708&reply_comment_id=592771751426431,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,"Using this bird's power to play a bird in your [wetland] triggers the power of the <strong applink=""/card/27"">Belted Kingfisher</strong> on another player's player mat, despite the <strong applink=""/card/27"">Belted Kingfisher</strong>'s entry in the Appendix.",https://www.facebook.com/groups/wingspanboardgame/?post_id=592581981445408&comment_id=592771208093152,,,,,,,,,,,,,,,,
Common Myna,Acridotheres tristis,asia,Brown,,"Copy the ""When Activated"" (brown) power of a bird in the [grassland] of the player on your left.",,,,1,Cavity,4,35,,X,,1,1,,,,,,X,,1,,,,,X,,,X,,,,,,,,X,,,,X,,,,,,,,,X,The copied power must be a brown “when activated” power. Perform the action as if the Common Myna had the power.,372,,,,,,,,,,,,,,,,,,,,,,
Common Nighthawk,Chordeiles minor,originalcore,Brown,Other,"If this bird is to the right of all other birds in its habitat, move it to another habitat.",,,,3,Ground,2,56,X,X,X,2,,,,,,,,,2,,,,,X,X,,,,X,,,X,,,,,,,,,,,,X,X,,,X,"These birds are all able to live in a variety of habitats, and their power is to move from habitat to habitat—but only if they’re the last bird in that row. (They can be in any column.) This can be powerful for increasing your abilities in multiple habitats, and for scoring on end-of-round goals. Be careful not to play another bird to the right of one of these cards, or you won’t be able to use its power!",89,,,,,"When using this bird's power to move this bird to another habitat, the action cube does not change habitats with it.",https://www.stonemaiergames.com/games/wingspan/rules/,,,,,,,,,,,,,,,,
Common Nightingale,Luscinia megarhynchos,european,Brown,Food-related,Choose a food type. All players gain 1 of that food from the supply.,,,,3,Bowl,4,23,X,X,X,1,1,,1,,,,X,,1,,,,,X,X,,X,,,,,,,,,,X,,,,X,,X,,,,,X,,90,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Common Raven,Corvus corax,originalcore,Brown,Food from Supply,Discard 1 [egg] from any of your other birds to gain 2 [wild] from the supply.,,,,5,Platform,2,135,X,X,X,,,,,1,,2,,,3,,,,,,X,,,X,,,,,,X,,X,,X,,X,,,,,X,,X,,These birds are all known for eating eggs from other birds’ nests. You must have laid an egg on another bird before you can use these powers. Discard the egg to the supply.,91,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,,,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,
Common Sandpiper,Actitis hypoleucos,asia,Brown,,Draw 1 [card] for each bird in your [wetland] with an [egg] on it. Keep 1 and discard the rest.,,,,2,Ground,2,40,,,X,1,,1,,,,,X,,1,,,,,X,,,,,X,,X,,,,,,,,,,,X,,,X,,,X,,373,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Common Starling,Sturnus vulgaris,european,Teal,Flocking,"Discard up to 5 [wild] from your supply. For each, tuck 1 [card] from the deck behind this bird.",,X,,3,Cavity,4,38,,X,X,1,1,,1,,,,X,,1,,,,,X,X,X,X,,,,,,,,X,,,,,,X,,,,,,,X,,92,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,,,"This bird counts toward the <strong applink=""/card/1004"">Bird Counter</strong> bonus card despite the specification of brown powers in that bonus card's entry in the Appendix.",https://www.boardgamegeek.com/thread/2153031/article/34459426#34459426,,,,,,,You can spend the unused nectar from your personal supply as blue powers are activated before nectar is discarded.,https://www.facebook.com/groups/wingspanboardgame/permalink/706763200027285/?comment_id=706763420027263&reply_comment_id=706764750027130,,,,,,,,
Common Swift,Apus apus,european,Teal,Flocking,"Discard up to 5 [invertebrate] from your supply. For each, tuck 1 [card] from the deck behind this bird.",,X,,5,Cavity,2,46,,X,,1,,,,,,,,,1,,,,,,,X,,,,,,X,,,X,,,,X,,,,,X,X,,,X,,93,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,,,"This bird counts toward the <strong applink=""/card/1004"">Bird Counter</strong> bonus card despite the specification of brown powers in that bonus card's entry in the Appendix.",https://www.boardgamegeek.com/thread/2153031/article/34459426#34459426,,,,,,,You can spend the unused nectar from your personal supply as blue powers are activated before nectar is discarded.,https://www.facebook.com/groups/wingspanboardgame/permalink/706763200027285/?comment_id=706763420027263&reply_comment_id=706764750027130,,,,,,,,
Common Tailorbird,Orthotomus sutorius,asia,Yellow,,Find a contiguous group of birds in your preserve that all have the same nest type. Lay 1 [egg] on each of them. [star] nests count as any nest type.,,,,2,Wild,2,13,X,X,,1,,,,,,1,,,2,,,,,X,X,,,,,,,,,,X,X,X,X,,,,,X,,X,,X,,"“Contiguous” is defined by being orthogonally adjacent. In other words: directly to the left, right, top, or bottom (not diagonal). The group may zig-zag across rows and columns, as long as each bird in the group is orthogonally adjacent to at least one other bird in the group.",374,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Common Teal,Anas crecca,asia,Teal,,"For every 3 [egg] in your [wetland], draw 1 [card] from the deck. You may tuck up to 2 [card] from your hand behind this bird.",,X,,0,Ground,4,61,,,X,1,1,,,,,,X,,1,,,,X,X,,X,X,,X,,,,,,,,,,,,,X,,,,,X,,You may tuck cards that you did not draw during the activation of this power.,375,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Common Yellowthroat,Geothlypis trichas,originalcore,Brown,Card-drawing,"Draw 2 [card]. If you do, discard 1 [card] from your hand at the end of your turn.",,,,1,Bowl,4,18,,,X,1,,,,,,,,,1,X,,,X,X,,,,,,,,X,,,,,X,,,,,X,X,,,,X,,"This power adds cards to the wetland’s draw card(s) action, but it has a cost. The next player may start their turn while you are deciding which card(s) to discard.",94,"You may perform an action even if it precludes you from performing an action required at the end of your turn (e.g., discarding a [card] from your hand at the end of a turn in which you activated the <strong applink=""/card/31"">Black Tern</strong>'s power).",https://www.facebook.com/groups/wingspanboardgame/permalink/397335327636742/?comment_id=397350010968607,"If you perform more than one action <i>""at the end of your turn""</i>, you may perform those actions in any order.",https://www.facebook.com/groups/wingspanboardgame/permalink/414814145888860/?comment_id=415023839201224&reply_comment_id=415302489173359,,,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,
Cooper's Hawk,Accipiter cooperii,originalcore,Brown,Hunting/Fishing,"Look at a [card] from the deck. If <75cm, tuck it behind this bird. If not, discard it.",X,,,3,Platform,2,79,X,,,,,,,1,,,,,1,,,X,,X,,,,,,X,,,X,X,,,,X,,X,,,,,X,,X,,"These birds eat other birds. Look at the wingspan of the top card of the deck and compare it to their hunting power. <br>If the wingspan of the top card in the deck is less than the bird’s hunting power, tuck that card to signify that your predator hunted successfully. Each tucked card is worth 1 point at the end of the game. <br>If the wingspan of the top card is equal to or larger than your predator’s power, discard the card instead.",95,,,,,,,,,,,,,,,,,,,,,,
Coppersmith Barbet,Psilopogon haemacephalus,asia,Brown,,"Gain 1 [invertebrate] or [fruit] from the birdfeeder, if there is one.",,,,4,Cavity,3,23,X,,,1,,,1,,,,,,2,,,,,,,,,,,,,,X,,X,,X,,,,X,,,,,,,X,"If all dice in the birdfeeder show the same face, you may reset it before gaining the [specified food type]. If the birdfeeder contains none of the [specified food type], you gain nothing.",376,Regular reroll rules apply whenever you have the opportunity to gain food from the birdfeeder.,https://www.stonemaiergames.com/games/wingspan/rules/,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Corsican Nuthatch,Sitta whiteheadi,european,White,Other,Draw 1 new bonus card. Then gain 1 [die] from the birdfeeder.,,,X,4,Cavity,2,21,X,,,,2,,,,,,,,2,,X,,,,,,X,,,,,,X,,X,,X,,,,,,,,X,X,,X,You may look at the bonus card you drew before doing the second part of these actions.,96,Regular reroll rules apply whenever you have the opportunity to gain food from the birdfeeder.,https://www.stonemaiergames.com/games/wingspan/rules/,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Count Raggi's Bird-of-Paradise,Paradisaea raggiana,oceania,Brown,Egg-laying,Choose 1 other player. You both gain 1 [fruit] from the supply.,,,,7,Bowl,2,22,X,,,1,,,2,,,,,,3,,,X,,,,,,X,,,,,X,,,,X,,,,X,,X,,X,,X,,,281,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Crested Ibis,Nipponia nippon,asia,White,,"Draw 2 new bonus cards and keep 1. Other players may discard any 2 resources ([wild], [egg], or [card]) to do the same.",,,X,7,Platform,2,140,,,X,1,,2,,,,,,,3,X,,,,,,,,X,,,X,,,X,,,,X,,,,X,,,X,X,X,,"Any player may discard 2 resources of the same type (e.g., 2 [wild]) or of 2 different types (e.g., 1 [wild] and 1 [egg]) to draw bonus cards. Discarded [wild] are discarded from your personal supply, and discarded [card] are discarded from your hand. <br>Draw 2 bonus cards, pick the one you want to keep and discard the other. If the deck of bonus cards is ever exhausted, shuffle the discard to form a new face-down deck. <br><b>Oceania Expansion:</b> If a player discards [nectar] to pay to draw bonus cards, that nectar is placed on the “spent nectar” spot in their [wetland].",377,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Crested Lark,Galerida cristata,asia,Brown,,"Discard 1 [seed]. If you do, lay 1 [egg] on this bird.",,,,5,Ground,4,34,,X,,1,1,,,,,,,,2,X,,,,,,,X,,X,,,,,,,,,,X,,,,,,,,X,,The seed must come from your supply not from a bird’s cache.,378,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Crested Pigeon,Ocyphaps lophotes,oceania,Yellow,Egg-laying,Cache up to 8 [seed] from your supply on this bird.,,,,3,Platform,4,45,,X,,,1,,,,,,,,1,X,,,,X,,,X,,,,,,,,,,,X,X,,,,,,,,,X,,282,,,,,,,,,,,,,,,,,,,,,,
Crimson Chat,Epthianura tricolor,oceania,Brown,Food-related,Discard 1 [wild] to tuck 1 [card] from the deck behind this bird.,,X,,4,Bowl,2,19,,X,,1,1,,1,,,,X,,1,,,,X,,,X,X,,,,,,,,,,X,,X,,X,,X,,X,,,X,,283,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,,,,,,,,,,,,,,,,,,,,
Dark-Eyed Junco,Junco hyemalis,originalcore,Brown,Flocking,"Tuck a [card] from your hand behind this bird. If you do, gain 1 [seed] from the supply.",,X,,3,Ground,3,23,X,X,,1,1,,,,,,,,2,X,,,,X,X,X,X,,X,,,,,,,,X,,,,,,,,,,X,,"These birds all allow you to tuck a card from your hand for a point, then gain some additional benefit (lay an egg, draw a card, or gain a food). You can only gain the benefit if you first tuck a card from your hand.",97,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Desert Finch,Rhodospiza obsoleta,asia,White,,Lay 1 [egg] on this bird for each other bird in your [grassland].,,,,6,Bowl,4,26,,X,,,3,,,,,,,,3,,X,,,,,,X,X,,,,,,,,,X,,X,,,,X,,,,,X,,379,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Desert Wheatear,Oenanthe deserti,asia,Brown,,"For each bird in your [grassland] with an egg on it, roll any 1 [die]. Choose 1 type of food you rolled and gain 1 of that food from the supply.",,,,2,Ground,2,27,,X,,1,1,,,,,,X,,1,,X,,,X,,,X,,X,,,,,,,,X,,X,,,,,,X,,X,,"Regardless of the number of dice rolled, gain only 1 food.",380,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Dickcissel,Spiza americana,originalcore,Brown,Flocking,"Tuck a [card] from your hand behind this bird. If you do, also lay 1 [egg] on this bird.",,X,,4,Ground,3,25,,X,,1,2,,,,,,,,3,,,,,,,X,X,X,X,,,,,,,,X,,X,,,,,,,,,X,"These birds all allow you to tuck a card from your hand for a point, then gain some additional benefit (lay an egg, draw a card, or gain a food). You can only gain the benefit if you first tuck a card from your hand.",98,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,"If this bird already has the maximum number of [egg] on it, you may still use its power to tuck a [card].",https://www.boardgamegeek.com/thread/2144148/article/31158388#31158388,,,,,,,,,,,,,,,,
Double-Crested Cormorant,Phalacrocorax auritus,originalcore,Brown,Flocking,Discard [fish] to tuck 2 [card] from the deck behind this bird.,,X,,3,Platform,3,132,,,X,,,1,,,,1,,,2,X,,,,X,,X,,,,,X,,,X,,X,,X,,,,X,,,,,,X,These powers allow you to discard a specific type of food to take 2 cards from the deck and tuck them behind the bird. You must have the food in your personal supply; you cannot take it from a bird card.,99,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,,,,,,,,,,,,,,,,,,,,
Downy Woodpecker,Picoides pubescens,originalcore,White,Other,Play a second bird in your [forest]. Pay its normal cost.,,,,3,Cavity,2,30,X,,,1,1,,1,,,,X,,1,,,,,X,,,X,,,,,,X,,X,,X,,,,X,,,,X,,X,,"Play another bird into the same habitat. You must follow all other rules about how to play birds: it must be a bird that can live in that habitat, and you must discard the food and egg cost for that bird. <br>The birds with this power all are known for spending time in mixed flocks with multiple bird species. Research has shown this can have benefits such as help finding food and being alerted about predators.",100,"You may substitute 2 [wild] for any 1 food in a bird's food cost whenever you play a bird, including outside the scope of the <i>""play a bird""</i> action.",https://www.facebook.com/groups/wingspanboardgame/?post_id=592455651458041&comment_id=592685648101708&reply_comment_id=592771751426431,,,"If you use this bird's power to play another bird with a <i>""play a second bird""</i> power, you may then use the latter bird's power to play yet another bird.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-31474,,,,,,,,,,,,,,,,
Dunnock,Prunella modularis,european,Teal,Egg-laying,"Choose 1 other player. For each action cube on their [grassland], lay 1 [egg] on this bird.",,,,1,Bowl,4,20,X,,,1,1,,,,,,,,2,,,,,X,,,X,,,,,,X,,,,X,,,,,,X,,,,,X,,101,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Eastern Bluebird,Sialia sialis,originalcore,White,Other,Play a second bird in your [grassland]. Pay its normal cost.,,,,4,Cavity,5,33,,X,,1,,,1,,,,,,2,,X,,X,,,,,,,,,,,,X,,,,X,,X,,,,,,,X,"Play another bird into the same habitat. You must follow all other rules about how to play birds: it must be a bird that can live in that habitat, and you must discard the food and egg cost for that bird. <br>The birds with this power all are known for spending time in mixed flocks with multiple bird species. Research has shown this can have benefits such as help finding food and being alerted about predators.",102,"You may substitute 2 [wild] for any 1 food in a bird's food cost whenever you play a bird, including outside the scope of the <i>""play a bird""</i> action.",https://www.facebook.com/groups/wingspanboardgame/?post_id=592455651458041&comment_id=592685648101708&reply_comment_id=592771751426431,,,"If you use this bird's power to play another bird with a <i>""play a second bird""</i> power, you may then use the latter bird's power to play yet another bird.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-31474,,,,,,,,,,,,,,,,
Eastern Imperial Eagle,Aquila heliaca,european,White,Hunting and Fishing,"For each [rodent] in this bird's cost, you may pay 1 [card] from your hand instead. If you do, tuck the paid [card] behind this card.",X,,,7,Platform,2,200,,X,,,,,,3,,,,X,3,,X,,,,,,,X,,X,,,,X,,,,X,X,X,,,,,X,,X,,"If these birds use their power to tuck cards instead of paying some or all of the bird’s food cost, this counts as both a) tucking a card and b) a predator succeeding, and triggers birds with pink powers accordingly.",103,"If you use a bird's power to play in the same habitat a bird an alternative food cost specified via an asterisk next to its food cost, you may pay the alternative cost (which thus counts as paying the bird's <i>""normal food cost""</i>) instead of paying its food cost.",https://www.discord.com/channels/608588053052653580/693358238439047229/709127448922423368,,,"This bird counts toward the <strong applink=""/card/1013"">Falconer</strong> bonus card despite the specification of brown powers in that bonus card's entry in the Appendix.",https://www.boardgamegeek.com/thread/2153031/article/34459426#34459426,,,,,,,,,,,,,,,,
Eastern Kingbird,Tyrannus tyrannus,originalcore,Pink,Food from Supply,"When another player plays a [forest] bird, gain 1 [invertebrate] from the supply.",,,,2,Bowl,2,38,X,X,X,1,,,1,,,,X,,1,,X,,,X,X,,,,,,,,,,,,,,,,X,,X,,X,,,X,Activate these powers when a player uses the “Play a bird” action to play a bird into the specific habitat. A bird that uses its power to move into the habitat does not trigger this power.,104,"If information printed on a card conflicts with the card's appendix entry, the information on the card takes precedence. (See <strong applink=""/card/9"">American Oystercatcher</strong>, <strong applink=""/card/27"">Belted Kingfisher</strong>, and <strong applink=""/card/104"">Eastern Kingbird</strong>.)",https://www.facebook.com/groups/wingspanboardgame/?post_id=592581981445408&comment_id=592771208093152,You may use a pink power during another player's turn after your last turn of the game.,https://www.boardgamegeek.com/thread/2145421/article/31177235#31177235,"This bird's power is triggered by another player playing a bird in their [forest] during their turn, even when not using the <i>""play a bird""</i> card action to do so (instead using, e.g., the <strong applink=""/card/128"">Goldcrest</strong>'s power), despite this bird's entry in the Appendix.",https://www.facebook.com/groups/wingspanboardgame/?post_id=592581981445408&comment_id=592771208093152,"You may activate each <i>""once between turns""</i> power on a bird on your player mat once between each of your turns.",https://www.facebook.com/groups/wingspanboardgame/permalink/312352352801707/?comment_id=312354036134872&reply_comment_id=312437246126551,You may not use a pink power during your turn (when an opponent performs an action that would otherwise enable using such a power).,https://www.facebook.com/groups/wingspanboardgame/permalink/499161054120835/?comment_id=499167897453484,"If a pink power is triggered by a player using the <i>""gain food""</i>, <i>""lay eggs""</i>, or <i>""draw bird cards""</i> action, the pink power is resolved after the player collects the resources indicated on the player mat but before any brown powers in the corresponding row are activated. If a pink power is triggered by another bird's power, the pink power is resolved after the other bird's power has been resolved.",https://www.boardgamegeek.com/thread/2397920/article/34412077#34412077,,,,,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,
Eastern Phoebe,Sayornis phoebe,originalcore,Brown,Food from Supply,All players gain 1 [invertebrate] from the supply.,,,,3,Wild,4,28,X,X,X,1,,,1,,,,X,,1,,X,,,X,X,,,,X,,,,,,X,,X,X,,,X,,X,,,,,X,,105,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Eastern Rosella,Platycercus eximius,oceania,Brown,Flocking,All players gain 1 [nectar] from the supply. You also gain 1 [seed] from the supply.,,,,4,Cavity,3,48,X,X,,,1,,,,2,,,,3,,X,,X,,X,,X,X,,,,,,,X,,,,,,,,,,,,,X,,284,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,"This bird counts toward the <strong applink=""/card/1023"">Photographer</strong> bonus card.",https://www.facebook.com/groups/wingspanboardgame/permalink/649739262396346/,,,,,,,,,,,,,,,,
Eastern Screech Owl,Megascops asio,originalcore,Brown,Hunting/Fishing,"Roll all dice not in birdfeeder. If any are [rodent], gain 1 [rodent] and cache it on this card.",X,,,4,Cavity,2,51,X,,,1,,,,1,,,X,,1,,X,,,,,,,,,X,,,X,,X,,,,,X,,,,,X,,,,"Birds that eat rodents or fish roll all dice that are not in the birdfeeder. (Note that you will never roll more than 4 dice, because when all 5 dice are out of the birdfeeder it must reset immediately.) Roll dice on the table; they do not go back into the birdfeeder. If one or more dice show the specified type, take at most 1 token of that type from the supply and cache it on your card (see “Caching food”). Each token on a bird card is worth 1 point at the end of the game.",106,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Eastern Whipbird,Psophodes olivaceus,oceania,Brown,Food-related,Choose 1 other player. You both gain 1 [seed] from the supply.,,,,5,Bowl,2,30,X,,,1,1,,,,,,,,2,,X,,,,,,X,,,,,,X,,,,X,,,,,,X,,X,,X,,,285,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
Eleonora's Falcon,Falco eleonorae,european,Brown,Egg-laying,"Roll all dice not in the birdfeeder. If any are [rodent], place 1 [egg] on this card.",X,,,6,Ground,2,95,,,X,1,,,,1,,,,,2,,,X,,,,,,,X,X,,,,X,,,,,,X,,X,,,X,,X,,,107,,,,,"This bird's power is a [predator] power; the [predator] icon did not appear on the card in early printings, but the omission was corrected by April 2019.",European Expansion,,,,,,,,,,,,,,,,
Emu,Dromaius novaehollandiae,oceania,Brown,Food-related,"Gain all [seed] that are in the birdfeeder. Keep half (rounded up), then choose how to distribute the remainder among the other player(s).",,,,4,Ground,6,*,X,X,X,1,1,,1,,,,,,3,,,,,,X,,X,X,X,,,,,X,,,,,,,X,,,,,,,X,Do not discard any seed tokens; they must be distributed to other players.,286,Regular reroll rules apply whenever you have the opportunity to gain food from the birdfeeder.,https://www.stonemaiergames.com/games/wingspan/rules/,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,"When using this bird's power, you must gain all [seed] available in the birdfeeder, since some of it may be allocated to other players.",https://www.facebook.com/groups/wingspanboardgame/permalink/649739262396346/,,,,,,,,,,,,,,,,
